age,workclass,fnlwgt,education,education_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country,income
54.55366668213649,NaN,110344.29152082076,Some-college,10.063737455581853,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,-0.00012469746917486191,7.374806702136994e-05,39.99976235351682,United-States,<=50K
50.28792499372397,Local-gov,203839.0427019413,7th-8th,4.520133693300795,Married-civ-spouse,Other-service,Husband,Black,Male,-0.00017385447025299071,-0.0001545102596282959,40.000152048997286,United-States,<=50K
59.897354470714916,NaN,105346.45110912365,10th,5.980681287189492,Widowed,NaN,Own-child,White,Male,-7.76968076825142e-05,0.00011901257187128067,11.225536056446977,United-States,<=50K
21.249110512354996,NaN,114545.48155320276,10th,5.754785664457513,Never-married,NaN,Own-child,White,Male,7.547317445278168e-05,0.00016404227912425996,6.890630172366501,United-States,<=50K
45.25293217193944,Private,32588.68584144071,Some-college,10.04864468876128,Married-civ-spouse,Exec-managerial,Husband,White,Male,-8.043584227561951e-05,4.146858304738999e-05,46.69242976108069,United-States,>50K
24.15080960771546,Private,181357.62330739727,Bachelors,12.89632816528148,Never-married,Exec-managerial,Other-relative,White,Female,0.00012023111432790757,0.00010833335667848587,65.32407762986823,United-States,<=50K
41.3800520807945,NaN,126265.95816474044,Bachelors,13.030602556485931,Married-civ-spouse,NaN,Husband,Asian-Pac-Islander,Male,0.0001768220216035843,0.00011425037682056427,47.74676308106281,NaN,<=50K
29.2808906281848,Private,120238.21836125648,HS-grad,9.000362086771387,Never-married,Adm-clerical,Not-in-family,Black,Female,3452.972582019638,0.0001529034376144409,40.000657431371216,United-States,<=50K
24.240522705710113,Private,180078.00133922749,Bachelors,13.183357167961917,Married-civ-spouse,Sales,Husband,White,Male,7508.6971460390805,0.0002092091888189316,47.95398648507089,NaN,<=50K
45.19146253819655,Self-emp-not-inc,187472.91737211766,HS-grad,8.999614194600243,Married-civ-spouse,Craft-repair,Husband,White,Male,5.473298579454422e-05,5.053652077913284e-05,49.47160745523225,United-States,<=50K
44.443961155117734,Private,295628.09546905226,Bachelors,15.04325937497967,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.00015680333971977234,2367.5906330974863,40.00047228888393,United-States,>50K
26.091040818093227,Private,28634.649627197043,10th,6.097016111381334,Married-civ-spouse,Transport-moving,Husband,White,Male,-2.6758878957480194e-06,8.107765763998032e-05,49.06348382722447,United-States,<=50K
40.2730382112615,Private,173901.78733438993,Some-college,10.17210907308342,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,-8.236251026391983e-05,6.0737314634025095e-06,40.00003788635105,United-States,>50K
60.08831397958022,Private,303918.4463304799,HS-grad,8.999681709496636,Married-civ-spouse,Craft-repair,Husband,White,Male,6.227304786443711e-05,0.00011188535392284393,39.999910309366584,United-States,<=50K
62.62115171536867,Self-emp-inc,183986.06903603364,Prof-school,15.380287958876448,Married-civ-spouse,Prof-specialty,Husband,White,Male,7537.746893547188,1920.2568803737688,62.46156238430891,United-States,>50K
23.452157485504742,Federal-gov,164676.89751406977,Bachelors,12.799443861590023,Never-married,Exec-managerial,Not-in-family,White,Female,-0.00013593634963035583,2.0093509927392008e-05,39.99974980271578,United-States,<=50K
18.406836652042056,Private,169101.62960143638,11th,7.306576254157907,Married-civ-spouse,Craft-repair,Husband,White,Male,5.1260635256767275e-05,0.00019162042438983917,39.9996633341086,United-States,<=50K
26.418591675880155,Self-emp-not-inc,334761.5188005809,HS-grad,8.999745828030962,Divorced,Farming-fishing,Not-in-family,White,Male,8.561234176158905e-05,-1.0726476088166237e-05,47.871775908816936,United-States,<=50K
31.72420612452973,Private,138022.58180969759,Some-college,9.766255810505468,Never-married,Adm-clerical,Own-child,White,Female,4.2591765522956846e-05,0.00010837507992982864,11.447049592839733,United-States,<=50K
19.980171967829985,Private,371489.7521282915,HS-grad,8.999680457322258,Married-civ-spouse,Craft-repair,Husband,White,Male,-1.0236741974949837e-05,0.00011991231143474579,49.78378774730259,Mexico,<=50K
20.988190682579535,Private,47117.107880288546,HS-grad,8.999713458894153,Never-married,Adm-clerical,Own-child,White,Male,-0.00014521783590316773,6.923467665910721e-05,25.32841671045078,United-States,<=50K
34.724546890133794,Private,194910.11882237837,HS-grad,8.999548872111697,Separated,Sales,Not-in-family,White,Female,-4.015517886728048e-06,6.610198318958283e-05,47.80892665084932,United-States,<=50K
33.14931226899286,State-gov,26985.33165546371,Assoc-voc,10.41608257505565,Divorced,Adm-clerical,Wife,White,Female,-6.490348279476166e-05,0.00017550225555896758,27.218091678597112,United-States,<=50K
54.49234280236923,Private,197174.72520715118,Masters,14.283596763037172,Married-civ-spouse,Prof-specialty,Wife,White,Female,13996.058794601431,8.06790441274643e-05,59.433869514438705,Ireland,>50K
51.625594618745,Self-emp-inc,161447.35230101575,Bachelors,12.755155388598846,Married-civ-spouse,Exec-managerial,Husband,White,Male,7487.023423917784,0.00012865628302097322,59.09361821507524,United-States,>50K
53.15704554363424,Private,181652.89976500894,HS-grad,9.00056466370668,Married-civ-spouse,Prof-specialty,Husband,White,Male,3432.557861296677,-7.020103186368942e-05,39.99985395481408,United-States,<=50K
26.794331887554858,Self-emp-not-inc,36929.2331879554,Bachelors,12.990922583803712,Never-married,Prof-specialty,Not-in-family,White,Female,0.00013245847821235658,0.00010984596610069275,28.05271405092215,Puerto-Rico,<=50K
38.33684031443922,State-gov,202526.54064352222,Some-college,10.169374753525021,Married-civ-spouse,Adm-clerical,Wife,White,Female,8.832919597625733e-05,4.431438073515892e-05,33.664974939125,United-States,<=50K
30.440894671348957,Local-gov,231081.91591041436,Assoc-voc,6.635554457321538,Married-civ-spouse,Other-service,Husband,Black,Male,-6.61562755703926e-05,0.00015531907975673676,40.000582739241125,United-States,<=50K
19.857721853231414,Private,93504.24144179768,Bachelors,12.941802028029729,Never-married,Adm-clerical,Own-child,White,Female,3.118203580379486e-05,-7.880024611949922e-06,39.99988235798448,United-States,<=50K
27.615571975519835,Private,201353.75362088843,HS-grad,9.000153013332147,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0.0001668202728033066,7.098130881786347e-05,39.999746160454755,United-States,<=50K
19.567837893116327,Private,146210.10075382644,HS-grad,9.00020183020677,Never-married,Sales,Own-child,White,Male,7.030188292264938e-05,0.0001449938714504242,12.0202878724412,United-States,<=50K
37.76621153348569,Private,166674.5598565291,HS-grad,9.000108110672194,Divorced,Craft-repair,Not-in-family,White,Male,0.00013124166429042815,-1.859758235514164e-05,40.00002679345541,United-States,<=50K
45.626188133441296,Private,404328.4123163678,Assoc-acdm,12.747502199231382,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,-1.1977313086390495e-05,0.00010606282949447632,48.31340968393574,United-States,>50K
45.218485833921754,Private,184837.82531497013,HS-grad,9.000829166470426,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0.00011154480278491975,1.2880655005574226e-05,69.33765775869864,United-States,<=50K
24.884740818080072,Self-emp-inc,216402.83134939766,Assoc-voc,10.295820669314319,Married-civ-spouse,Craft-repair,Husband,White,Male,1.696261949837208e-05,9.34639498591423e-05,40.00014343065739,United-States,<=50K
34.69369641194151,Private,121679.40417831119,HS-grad,9.000336096911091,Married-civ-spouse,Craft-repair,Husband,White,Male,3.146982192993164e-05,0.00010938645899295807,40.00003869748086,United-States,<=50K
